team_code,NPlayers,Age,Poss,Gls,Ast,PKatt,CrdY,CrdR,advanced
CAN,19,26.2,53.0,11,6,2,14,0,0
CRI,22,29.0,52.8,6,4,0,8,2,0
MEX,21,28.9,66.2,9,7,2,11,0,0
QAT,18,26.6,45.4,12,8,4,2,0,0
USA,22,23.8,56.0,10,9,0,4,0,1
AUS,18,27.0,66.0,6,6,0,4,0,1
IRN,21,27.5,57.0,12,7,1,5,0,0
JPN,22,27.0,54.7,12,8,3,2,0,1
KOR,19,27.1,69.0,6,4,1,4,0,1
QAT,19,25.3,49.1,19,15,2,4,0,0
SAU,18,26.8,72.5,6,5,0,5,0,0
CMR,24,26.2,59.7,14,7,2,11,0,0
GHA,17,26.0,51.0,3,1,0,7,2,0
MAR,23,25.6,60.6,8,1,3,6,0,1
SEN,24,27.7,57.9,9,0,2,12,0,1
TUN,24,26.6,57.4,5,3,3,10,1,0
BEL,24,29.2,53.8,8,6,1,4,0,0
HRV,21,27.7,50.0,6,5,0,7,0,1
DNK,21,27.7,53.3,12,8,1,5,0,0
ENG,21,25.9,50.9,10,8,1,6,0,1
FRA,21,27.8,52.8,6,2,1,8,0,1
NLD,21,27.8,54.8,8,5,1,3,1,1
POL,19,27.7,49.3,4,4,0,8,1,1
PRT,20,28.8,54.3,7,4,3,4,0,1
ESP,21,26.0,72.0,10,9,2,6,0,1
WAL,18,26.6,38.0,3,3,1,9,2,0
ARG,26,27.7,48.7,12,8,1,18,0,1
BRA,23,27.3,57.4,12,8,1,12,1,1
ECU,22,25.5,55.8,4,3,0,9,1,0
URY,21,28.3,51.8,3,1,1,4,0,0
DEU,19,28.3,61.8,4,3,0,7,0,0
CHE,20,27.7,48.0,8,8,1,11,1,1
