team_name,team_code,position,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced,Squad,NPlayers,Age,Poss,MP,Starts,Min,90s,Gls,Ast,GpA,GmPK,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,GpAp90,GmPKp90,GpAmPK
Canada,CAN,4,0,0,3,2,7,-5,0,0,CAN,19,26.2,53.0,5,55,450,5.0,11,6,17,9,2,2,14,0,2.2,1.2,3.4,1.8,3.0
Costa Rica,CRI,4,1,0,2,3,11,-8,3,0,CRI,22,29.0,52.8,4,44,360,4.0,6,4,10,6,0,0,8,2,1.5,1.0,2.5,1.5,2.5
Mexico,MEX,3,1,1,1,2,3,-1,4,0,MEX,21,28.9,66.2,6,66,570,6.3,9,7,16,8,1,2,11,0,1.42,1.11,2.53,1.26,2.37
Qatar,QAT,4,0,0,3,1,7,-6,0,0,QAT,18,26.6,45.4,5,55,450,5.0,12,8,20,10,2,4,2,0,2.4,1.6,4.0,2.0,3.6
United States,USA,2,1,2,0,2,1,1,5,1,USA,22,23.8,56.0,6,66,570,6.3,10,9,19,10,0,0,4,0,1.58,1.42,3.0,1.58,3.0
Australia,AUS,2,2,0,1,3,4,-1,6,1,AUS,18,27.0,66.0,5,55,480,5.3,6,6,12,6,0,0,4,0,1.13,1.13,2.25,1.13,2.25
Iran,IRN,3,1,0,2,4,7,-3,3,0,IRN,21,27.5,57.0,6,66,540,6.0,12,7,19,11,1,1,5,0,2.0,1.17,3.17,1.83,3.0
Japan,JPN,1,2,0,1,4,3,1,6,1,JPN,22,27.0,54.7,7,77,630,7.0,12,8,20,9,3,3,2,0,1.71,1.14,2.86,1.29,2.43
South Korea,KOR,2,1,1,1,4,4,0,4,1,KOR,19,27.1,69.0,5,55,480,5.3,6,4,10,5,1,1,4,0,1.13,0.75,1.87,0.94,1.69
Qatar,QAT,4,0,0,3,1,7,-6,0,0,QAT,19,25.3,49.1,7,77,630,7.0,19,15,34,18,1,2,4,0,2.71,2.14,4.86,2.57,4.71
Saudi Arabia,SAU,4,1,0,2,3,5,-2,3,0,SAU,18,26.8,72.5,4,44,360,4.0,6,5,11,6,0,0,5,0,1.5,1.25,2.75,1.5,2.75
Cameroon,CMR,3,1,1,1,4,4,0,4,0,CMR,24,26.2,59.7,7,77,660,7.3,14,7,21,12,2,2,11,0,1.91,0.95,2.86,1.64,2.59
Ghana,GHA,4,1,0,2,5,7,-2,3,0,GHA,17,26.0,51.0,3,33,270,3.0,3,1,4,3,0,0,7,2,1.0,0.33,1.33,1.0,1.33
Morocco,MAR,1,2,1,0,4,1,3,7,1,MAR,23,25.6,60.6,5,55,480,5.3,8,1,9,6,2,3,6,0,1.5,0.19,1.69,1.13,1.31
Senegal,SEN,2,2,0,1,5,4,1,6,1,SEN,24,27.7,57.9,7,77,660,7.3,9,0,9,8,1,2,12,0,1.23,0.0,1.23,1.09,1.09
Tunisia,TUN,3,1,1,1,1,1,0,4,0,TUN,24,26.6,57.4,5,55,450,5.0,5,3,8,5,0,3,10,1,1.0,0.6,1.6,1.0,1.6
Belgium,BEL,3,1,1,1,1,2,-1,4,0,BEL,24,29.2,53.8,5,55,450,90.0,8,6,14,7,1,1,4,0,1.6,1.2,2.8,1.4,2.6
Croatia,HRV,2,1,2,0,4,1,3,5,1,HRV,21,27.7,50.0,4,44,390,90.0,6,5,11,6,0,0,7,0,1.38,1.15,2.54,1.38,2.54
Denmark,DNK,4,0,1,2,1,3,-2,1,0,DNK,21,27.7,53.3,6,66,570,90.0,12,8,20,12,0,1,5,0,1.89,1.26,3.16,1.89,3.16
England,ENG,1,2,1,0,9,2,7,7,1,ENG,21,25.9,50.9,7,77,690,90.0,10,8,18,10,0,1,6,0,1.3,1.04,2.35,1.3,2.35
France,FRA,1,2,0,1,6,3,3,6,1,FRA,21,27.8,52.8,4,44,390,90.0,6,2,8,5,1,1,8,0,1.38,0.46,1.85,1.15,1.62
Netherlands,NLD,1,2,1,0,5,1,4,7,1,NLD,21,27.8,54.8,4,44,360,90.0,8,5,13,7,1,1,3,1,2.0,1.25,3.25,1.75,3.0
Poland,POL,2,1,1,1,2,2,0,4,1,POL,19,27.7,49.3,3,33,270,90.0,4,4,8,4,0,0,8,1,1.33,1.33,2.67,1.33,2.67
Portugal,PRT,1,2,0,1,6,4,2,6,1,PRT,20,28.8,54.3,4,44,360,90.0,7,4,11,4,3,3,4,0,1.75,1.0,2.75,1.0,2.0
Spain,ESP,2,1,1,1,9,3,6,4,1,ESP,21,26.0,72.0,6,66,630,90.0,10,9,19,10,0,2,6,0,1.43,1.29,2.71,1.43,2.71
Wales,WAL,4,0,1,2,1,6,-5,1,0,WAL,18,26.6,38.0,4,44,360,90.0,3,3,6,3,0,1,9,2,0.75,0.75,1.5,0.75,1.5
Argentina,ARG,1,2,0,1,5,2,3,6,1,ARG,26,27.7,48.7,7,77,660,90.0,12,8,20,11,1,1,18,0,1.64,1.09,2.73,1.5,2.59
Brazil,BRA,1,2,0,1,3,1,2,6,1,BRA,23,27.3,57.4,7,77,630,90.0,12,8,20,11,1,1,12,1,1.71,1.14,2.86,1.57,2.71
Ecuador,ECU,3,1,1,1,4,3,1,4,0,ECU,22,25.5,55.8,5,55,450,90.0,4,3,7,4,0,0,9,1,0.8,0.6,1.4,0.8,1.4
Uruguay,URY,3,1,1,1,2,2,0,4,0,URY,21,28.3,51.8,5,55,450,90.0,3,1,4,2,1,1,4,0,0.6,0.2,0.8,0.4,0.6
Germany,DEU,3,1,1,1,6,5,1,4,0,DEU,19,28.3,61.8,4,44,360,90.0,4,3,7,4,0,0,7,0,1.0,0.75,1.75,1.0,1.75
Switzerland,CHE,2,2,0,1,4,3,1,6,1,CHE,20,27.7,48.0,5,55,510,90.0,8,8,16,8,0,1,11,1,1.41,1.41,2.82,1.41,2.82
